,geoid,carea,cperim,cpolsbypop,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
86,1000,0.5448325545205064,4.337819319648382,0.3638563813910799,46,192578,43.87243091343935,186129.38726952497,214,897224,211.87243091343936,890775.3872695249,48,193288,44.471477643240455,186413.33233999825,216,897934,212.47147764324046,891059.3323399981
87,1198,0.018373548309999824,0.6457342401350269,0.5537264493470938,23,81211,22.709488821368264,80331.85974618889,179,601723,178.70948882136818,600843.8597461889,23,81211,22.709488821368264,80331.85974618889,179,601723,178.70948882136818,600843.8597461889
88,1225,0.7698836100290067,5.540053629517875,0.3152150903532386,50,312785,46.46345035414972,290634.5784396937,119,700487,115.46345035414976,678336.5784396937,60,366839,49.40455967459571,306335.23475940444,129,754541,118.40455967459576,694037.2347594043
89,1205,0.3696952315400007,10.807154709565706,0.03977690386073622,102,519652,90.15339881800074,449703.59243296826,149,716627,137.15339881800074,646678.5924329683,133,657449,99.51935465731941,490660.9265505294,180,854424,146.51935465731938,687635.9265505294
90,1227,0.055424027629819364,2.3005551293407445,0.13159599030708155,53,269347,46.10914564858202,234135.59638115173,152,721739,145.109145648582,686527.5963811516,61,315199,48.37787618775053,247417.14920043672,160,767591,147.37787618775053,699809.1492004364
91,1220,0.6324352726839987,6.034129698567136,0.2182713157015116,92,437327,79.94123272961704,381039.52121610654,157,719574,144.9412327296171,663286.5212161067,117,550666,86.7309197974605,411135.2238403983,182,832913,151.7309197974605,693382.2238403982
92,1202,2.1806814772260554,11.022642876309797,0.22554366065994386,38,172456,35.0148208019271,162978.73457928,161,691856,158.0148208019271,682378.73457928,44,189415,36.490182286761744,166495.2403331281,167,708815,159.49018228676178,685895.2403331281
93,1203,1.8040456995936296,7.975799464214599,0.3563764085824437,46,259295,44.00958812483358,252742.2579618289,134,688554,132.00958812483356,682001.2579618288,53,308700,45.62722177409878,263779.65118602663,141,737959,133.62722177409879,693038.6511860265
94,1204,0.4809645139308367,6.371693404851624,0.14887204654059336,72,371941,64.42221244545155,341471.7387151704,134,711982,126.42221244545156,681512.73871517,83,438634,68.05047455813181,363917.92289134994,145,778675,130.05047455813184,703958.9228913499
95,1215,0.2079453853925,3.099738022388882,0.27196259105140286,54,235600,51.5421364677083,223332.31195984947,171,707965,168.54213646770833,695697.3119598493,62,263626,53.90603509415934,232018.02671961422,179,735991,170.90603509415934,704383.0267196139
96,1212,0.22101497097150014,2.8134469581483454,0.3508763471099184,54,189357,51.578382186741244,182825.25599076969,183,675682,180.5783821867413,669150.2559907701,60,217510,53.650497700683104,192520.41229905796,189,703835,182.6504977006831,678845.4122990583
97,1219,0.20834725523979145,4.303270525067743,0.14138402777050696,51,187440,43.3730390349454,161007.7926642584,184,697301,176.37303903494546,670868.7926642586,62,219567,47.169043341831,171197.09368738587,195,729428,180.1690433418311,681058.0936873864
98,1217,1.6481625989060966,7.978530448748691,0.32535995930895706,71,256568,66.41166379893329,239033.06803236413,186,682680,181.4116637989333,665145.0680323642,82,299943,70.14438135846018,254187.88568313987,197,726055,185.14438135846015,680299.8856831399
99,1201,1.080171816245262,6.103179752501407,0.36441008149542625,28,122424,26.57946763936717,117958.60907903955,151,696442,149.57946763936715,691976.6090790397,29,123514,27.059502056818882,118481.84659406194,152,697532,150.05950205681887,692499.846594062
