,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
57,0625,0.4328476647564993,4.646796460100326,41,173994,37.89478705464458,158659.0362146424,159,698819,155.89478705464455,683484.0362146425,47,194417,39.53308035021942,164062.16045746545,165,719242,157.5330803502194,688887.1604574657
58,0653,0.034499329581000784,1.2423585555808236,51,262390,46.09875266010786,238352.9411407199,147,701404,142.0987526601079,677366.94114072,66,350983,50.194471067127026,259104.12980818952,162,789997,146.19447106712704,698118.1298081898
59,0618,0.18465930491598498,2.6101047401086412,39,183463,34.93772252318653,163524.81266355526,153,703253,148.93772252318658,683314.812663555,57,274544,39.977752039766564,188381.23625622992,171,794334,153.97775203976656,708171.2362562296
60,0622,0.30461755515949873,4.309487752091899,43,216680,39.80295899813707,201528.3699629892,144,711176,140.80295899813714,696024.3699629892,47,240212,41.00215175867464,209062.0904514386,148,734708,142.00215175867467,703558.0904514388
61,0609,0.3470190093090002,3.1558978295393354,23,126447,20.74510803349208,112766.09276679356,140,708571,137.74510803349207,694890.0927667934,28,150257,22.134734881582027,120052.61432615346,145,732381,139.13473488158206,702176.6143261533
62,0613,0.027342672322166608,0.923142909569192,22,95450,18.446522062185146,80658.46766921617,185,680723,181.44652206218518,665931.4676692161,36,137262,22.449059839566683,93736.74168174466,199,722535,185.44905983956676,679009.7416817446
63,0607,0.14781523453999806,1.8122061843146684,42,201844,39.75397665533803,192250.4829134537,155,693242,152.75397665533805,683648.4829134535,50,246192,41.991947945084775,205032.45624156788,163,737590,154.99194794508475,696430.4562415677
64,0628,0.05590954566150065,1.6436920821934462,52,183347,44.984367189114685,160561.80696389455,187,722971,179.98436718911472,700185.8069638946,66,228845,48.84851243626112,174105.06934262413,201,768469,183.84851243626113,713729.0693426242
65,0617,0.05120163456483124,1.2816442504887364,38,191410,34.441300761725586,171213.33191119775,142,713190,138.44130076172559,692993.3319111979,46,218577,35.92238808292967,176194.21716927478,150,740357,139.9223880829297,697974.2171692749
66,0623,2.559245781046998,12.305978817902846,55,307618,53.4172286986779,299203.5005007716,130,694580,128.4172286986779,686165.5005007718,68,372012,56.90649684958349,315040.58477501577,143,758974,131.9064968495835,702002.5847750161
67,0626,0.2410473603455596,3.4012334071122954,31,145534,29.315368797791184,136626.36075556913,146,706131,144.31536879779122,697223.3607555692,41,187605,31.644150532117077,147356.8140651174,156,748202,146.6441505321171,707953.8140651175
68,0601,7.966218287269484,17.438128387868375,37,141229,36.647849645156434,139767.7843401114,172,701726,171.6478496451564,700264.7843401113,41,159413,37.90967163985757,145395.05628618758,176,719910,172.90967163985755,705892.0562861875
69,0631,0.0558369603585004,2.3002827522123432,42,232335,37.81039664348502,210210.27616374413,127,689636,122.810396643485,667511.2761637439,54,305688,41.89443561387917,237301.9098111137,139,762989,126.89443561387917,694602.9098111135
70,0646,0.018174398117500688,0.6851722921629458,22,124294,18.88181922422749,108648.8738549588,114,679963,110.88181922422753,664317.8738549589,41,238026,24.55160940151639,143358.72302924178,133,793695,116.5516094015164,699027.7230292418
71,0633,0.07311475798628532,2.4554383213068176,94,381235,80.76228758775511,328145.0623477265,168,694423,154.76228758775508,641333.0623477264,119,474355,87.56774275292891,353226.88632429077,193,787543,161.56774275292895,666414.886324291
72,0651,1.2771404820463477,7.8177340381710305,39,206388,35.71125072434935,187681.8448507647,143,711860,139.71125072434936,693153.844850765,50,261699,37.81334045959365,197285.5216889778,154,767171,141.81334045959363,702757.5216889782
73,0641,0.08043161078950067,2.070580709675721,25,156264,22.735576297524144,139944.41231942302,139,688086,136.73557629752415,671766.4123194229,41,242050,26.793520711125826,162336.61245166106,155,773872,140.79352071112586,694158.612451661
74,0802,2.0876782071134343,9.546270083553004,48,221002,45.14512498050897,208029.87015813886,182,730626,179.14512498050897,717653.8701581388,56,259464,47.29446816379322,218831.51898271558,190,769088,181.29446816379325,728455.5189827153
75,0804,10.319502504208085,18.3238843460922,50,180742,48.495100320067436,170580.7546688357,198,725406,196.49510032006745,715244.7546688358,58,222133,50.883993299740865,181837.19109493983,206,766797,198.88399329974087,726501.19109494
76,0801,0.05206921031200007,2.17512198333604,52,238936,48.57373534836564,224893.75398807428,176,708206,172.57373534836566,694163.753988074,61,280845,51.288166116104314,237793.57422908128,185,750115,175.2881661161044,707063.5742290813
77,0805,1.9575317952244988,7.717107894809693,21,96271,20.90558631417992,95895.7820442341,159,720865,158.90558631417989,720489.7820442342,22,101858,21.10991210188195,97037.35022012537,160,726452,159.10991210188197,721631.3502201255
78,0806,0.1313059194679995,3.3896757097622547,57,265972,51.79552867286176,238732.4239863027,170,717934,164.79552867286174,690694.4239863027,65,306138,54.235732302972295,251818.0128528457,178,758100,167.2357323029723,703780.0128528456
79,0803,13.395132460632338,21.266440989758685,40,132227,39.212401129890274,129138.65385027652,192,719669,191.21240112989028,716580.6538502767,41,133625,39.346525659896436,129326.15994322515,193,721067,191.34652565989643,716768.1599432253
80,0807,0.09603097263699964,2.3488586303631935,37,143873,34.65207474365405,133279.88970864238,172,706490,169.65207474365403,695896.8897086424,52,219646,38.17398091428733,150972.44980895676,187,782263,173.17398091428734,713589.4498089568
81,0902,0.5732374684499715,4.122168498267601,51,239564,47.31269998757883,225184.3627718019,156,716677,152.31269998757884,702297.362771802,51,239564,47.31269998757883,225184.3627718019,156,716677,152.31269998757884,702297.362771802
82,0903,0.13553742845612998,2.533206789003281,57,282681,50.97863502632022,256676.68822397964,155,718533,148.97863502632018,692528.6882239797,62,301952,52.30498866839475,261747.5802809198,160,737804,150.30498866839469,697599.5802809198
83,0901,0.19529402039958202,3.5948805823122627,54,258121,53.06031282420249,254062.87109091005,178,718584,177.06031282420253,714525.8710909102,57,270268,53.684603950249006,256670.4943548119,181,730731,177.68460395024906,717133.4943548121
84,0904,0.1323343488447461,2.3638324222539997,47,214791,43.394208372919216,199513.02719420206,162,699179,158.39420837291917,683901.0271942023,53,232789,45.155727591063034,204718.13537941047,168,717177,160.15572759106303,689106.1353794105
85,0905,0.3587576797375725,4.2613763087392345,67,292146,65.35751619920464,285607.8621452588,173,707908,171.35751619920475,701369.8621452585,71,308930,66.8134236390528,291766.97757743817,177,724692,172.81342363905293,707528.977577438
86,1000,0.5456544906067314,4.311816004036432,36,136715,34.003255833776265,130806.02074029131,214,897224,212.00325583377628,891315.020740291,38,137425,34.60321046196073,131089.96581094989,216,897934,212.60321046196069,891598.9658109496
87,1198,0.018377138038502012,0.6478480986835229,22,79072,21.70468244897845,78188.36726771906,179,601723,178.70468244897842,600839.3672677192,22,79072,21.70468244897845,78188.36726771906,179,601723,178.70468244897842,600839.3672677192
88,1206,0.6790111267925791,5.634162475669447,48,175629,40.8497048014722,152355.7039662142,159,694621,151.84970480147214,671347.7039662143,58,218768,43.878413677788075,164213.89759474213,169,737760,154.87841367778802,683205.8975947425
89,1219,0.20825428829913487,4.199508458075165,50,192111,42.00999810592072,164426.79301362118,184,697301,176.00999810592072,669616.7930136214,62,226203,45.85548006971961,174719.7314289638,196,731393,179.85548006971962,679909.7314289641
90,1210,0.33491437474349905,4.04219011518416,56,290408,51.64311441548015,270757.55491051264,134,686241,129.64311441548014,666590.5549105128,76,391982,57.05849116487445,298298.0247502047,154,787815,135.0584911648744,694131.0247502049
91,1211,0.6470321767244955,4.740436463199229,37,195596,35.3394787370469,186444.7422067583,144,694529,142.33947873704696,685377.7422067585,41,212671,36.4677839550546,191413.22429857135,148,711604,143.4677839550546,690346.2242985715
92,1207,0.13756577925549926,2.5096002483239657,36,185143,32.96715098990349,171987.24569765344,137,665507,133.9671509899035,652351.2456976533,47,250448,36.0696255737488,190877.36181376738,148,730812,137.0696255737488,671241.3618137672
93,1216,0.2309786016425521,2.6465531117988017,28,123007,24.451657146458725,112506.35728521807,168,689335,164.45165714645867,678834.357285218,31,131934,25.4079491013168,115326.92913911634,171,698262,165.40794910131675,681654.9291391163
94,1208,0.4936169823438145,3.9752508479017448,38,182419,33.7731644272087,163512.69261558694,145,713590,140.77316442720868,694683.6926155869,40,190155,34.58198451776845,166623.85172993471,147,721326,141.5819845177685,697794.8517299347
95,1201,1.0799796253511265,5.854646946596103,27,119728,25.56137471062778,115200.06184148176,151,696442,149.56137471062775,691914.0618414816,28,120818,26.04140912807818,115723.29935650267,152,697532,150.0414091280782,692437.2993565025
96,1223,0.043385958041835065,1.6474992070159609,55,248539,48.70046800242734,224945.39560489036,145,671319,138.70046800242736,647725.3956048904,71,313125,53.503947886901614,243906.62715126266,161,735905,143.50394788690159,666686.6271512628
97,1227,0.055387925052675036,2.2080775865793183,50,260628,43.41412404722991,225611.8224922527,151,715502,144.41412404722988,680485.8224922527,61,317139,46.939801589249605,244267.66695416468,162,772013,147.93980158924958,699141.6669541645
98,1205,0.3704620569365023,9.772678784461446,96,476304,83.10324611241421,405280.26780886186,151,719089,138.1032461124142,648065.2678088623,126,612594,92.5370538558656,448235.9916881603,181,855379,147.5370538558656,691020.9916881607
99,1214,0.06964602561476696,2.416102155321925,70,260510,63.834098030309704,240185.6907657516,188,682657,181.83409803030972,662332.6907657519,83,309500,67.33049218555121,253236.52647934892,201,731647,185.3304921855513,675383.5264793492
100,1215,0.20754540808999908,2.780091734353276,43,179143,39.89638001638444,164009.94113895358,171,707965,167.89638001638443,692831.9411389537,52,211991,42.082338298533344,172564.1038916233,180,740813,170.0823382985334,701386.1038916233
101,1224,0.028147620796499673,1.0235678286499326,41,203075,37.29287911160725,187008.3823748287,147,688345,143.29287911160725,672278.3823748286,56,285800,40.900396311562716,207332.58032055962,162,771070,146.9003963115627,692602.5803205597
102,1203,1.8044903059871087,7.615619543927568,43,232427,40.73279216882322,225131.76829470482,134,688554,131.73279216882327,681258.7682947047,50,281832,42.1340997011442,234721.33339949613,141,737959,133.13409970114424,690848.333399496
103,1218,0.40034816816305824,3.2377000640638784,33,121646,27.605592290413288,100904.58319159533,145,682691,139.60559229041326,661949.5831915953,45,179899,31.3376383935731,117560.31975746856,157,740944,143.3376383935731,678605.3197574684
