,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
119,1301,691,8998,36917,691974,0.07731616545998689,0.00854668699438333,338.0,394.0,0.07731616545998689,0.00854668699438333,338.0,394.0
120,1314,697,35848,21770,691974,0.044811849924558826,0.0005384680194753209,242.0,163.0,0.044811849924558826,0.0005384680194753209,242.0,163.0
121,1312,798,14323,34718,691975,0.05451912990496291,0.003373047215997553,287.0,345.0,0.05451912990496291,0.003373047215997553,287.0,345.0
122,1311,630,54187,12677,691975,0.031940035273368604,0.00023566776840980863,172.0,68.0,0.031940035273368604,0.00023566776840980863,172.0,68.0
123,1313,625,63115,9890,691976,0.0253184,0.00017371041540954193,122.0,43.0,0.0253184,0.00017371041540954193,122.0,43.0
124,1302,845,25839,34130,691976,0.0477994467980813,0.0010364291712142884,260.0,241.0,0.0477994467980813,0.0010364291712142884,260.0,241.0
125,1303,814,34531,20258,691974,0.030573682907835242,0.0005803252481425412,159.0,169.0,0.030573682907835242,0.0005803252481425412,159.0,169.0
126,1309,723,22180,28058,691975,0.05367599654888097,0.0014065893366919239,282.0,273.0,0.05367599654888097,0.0014065893366919239,282.0,273.0
127,1308,1084,26281,34108,691976,0.029026701706131454,0.0010018605122588248,146.0,233.0,0.029026701706131454,0.0010018605122588248,146.0,233.0
128,1310,831,54336,25574,691976,0.03703365814171376,0.0002343773845000215,206.0,66.0,0.03703365814171376,0.0002343773845000215,206.0,66.0
129,1307,367,64116,6601,691975,0.049009198969477835,0.000168328465312308,265.0,41.0,0.049009198969477835,0.000168328465312308,265.0,41.0
130,1501,120,27418,5659,680496,0.3929861111111111,0.0009052197745260809,437.0,218.0,0.3929861111111111,0.0009052197745260809,437.0,218.0
131,1502,230,3176,19357,679805,0.3659168241965974,0.06739433106611932,436.0,429.0,0.3659168241965974,0.06739433106611932,436.0,429.0
132,1602,854,9077,81762,783450,0.11210778318314694,0.009508819729175172,389.0,396.0,0.11210778318314694,0.009508819729175172,389.0,396.0
133,1601,1024,10932,68080,784132,0.0649261474609375,0.006561300546812421,312.0,381.0,0.0649261474609375,0.006561300546812421,312.0,381.0
134,1706,1204,76710,14855,712813,0.010247541417865144,0.00012113555853324712,21.0,27.0,0.010247541417865144,0.00012113555853324712,21.0,27.0
135,1709,725,59212,12186,712813,0.023183828775267538,0.00020330878766378912,101.0,57.0,0.023183828775267538,0.00020330878766378912,101.0,57.0
136,1710,744,45618,13676,712813,0.02470661348132732,0.00034253356125200777,117.0,104.0,0.02470661348132732,0.00034253356125200777,117.0,104.0
137,1703,1161,65330,14819,712813,0.010993967747367984,0.0001670130069316397,25.0,39.0,0.010993967747367984,0.0001670130069316397,25.0,39.0
138,1713,1313,27451,36177,712813,0.02098471608248176,0.0009459305940782605,83.0,225.0,0.02098471608248176,0.0009459305940782605,83.0,225.0
139,1712,818,11210,40955,712813,0.061206891398305846,0.005672367844117771,303.0,375.0,0.061206891398305846,0.005672367844117771,303.0,375.0
140,1701,1209,57630,15914,712813,0.010887464501488356,0.0002146240433739814,24.0,61.0,0.010887464501488356,0.0002146240433739814,24.0,61.0
141,17ZZ,93,0,102,0,0.011793270898369753,,29.0,,0.011793270898369753,,29.0,
142,1708,823,70661,11448,712812,0.01690168293399515,0.00014276292706300695,61.0,34.0,0.01690168293399515,0.00014276292706300695,61.0,34.0
143,1707,1229,75623,13805,712812,0.00913971482500806,0.0001246428004991711,14.0,29.0,0.00913971482500806,0.0001246428004991711,14.0,29.0
144,1718,1404,22806,48553,712813,0.02463098919651626,0.0013704947355004551,116.0,271.0,0.02463098919651626,0.0013704947355004551,116.0,271.0
145,1704,1378,65619,11011,712813,0.005798669113015856,0.00016554512505355731,7.0,37.0,0.005798669113015856,0.00016554512505355731,7.0,37.0
146,1702,729,21866,20155,712813,0.037925188308768044,0.001490860210569372,210.0,281.0,0.037925188308768044,0.001490860210569372,210.0,281.0
147,1716,1299,20907,43447,712813,0.02574788091271725,0.0016307679709349004,124.0,287.0,0.02574788091271725,0.0016307679709349004,124.0,287.0
148,1714,1346,54487,20994,712813,0.011587908921707376,0.00024009870525668463,28.0,70.0,0.011587908921707376,0.00024009870525668463,28.0,70.0
149,1705,1169,77282,12700,712813,0.009293401465430376,0.00011934903340609003,16.0,24.0,0.009293401465430376,0.00011934903340609003,16.0,24.0
150,1715,1369,15665,69222,712813,0.03693492714873482,0.0029047904838875806,205.0,330.0,0.03693492714873482,0.0029047904838875806,205.0,330.0
151,1711,877,52661,12371,712813,0.016084427969820406,0.00025703804414713843,55.0,75.0,0.016084427969820406,0.00025703804414713843,55.0,75.0
152,1717,1155,28413,39164,712813,0.029357770656471955,0.0008829608119867731,152.0,215.0,0.029357770656471955,0.0008829608119867731,152.0,215.0
153,1801,280,9331,20034,720422,0.2555357142857143,0.00827428713662945,428.0,391.0,0.2555357142857143,0.00827428713662945,428.0,391.0
154,1809,657,17908,28621,720422,0.06630618859304667,0.0022464295084962333,314.0,309.0,0.06630618859304667,0.0022464295084962333,314.0,309.0
155,1802,621,17551,35877,720423,0.09303212054734844,0.002338750196928069,370.0,312.0,0.09303212054734844,0.002338750196928069,370.0,312.0
156,1808,647,7619,44738,720422,0.10687300081938038,0.012410549740761972,385.0,400.0,0.10687300081938038,0.012410549740761972,385.0,400.0
157,1803,557,8987,28418,720423,0.09159739435098904,0.008919860987835142,364.0,395.0,0.09159739435098904,0.008919860987835142,364.0,395.0
158,1804,793,15313,35379,720422,0.05625992885414464,0.003072319671974301,292.0,334.0,0.05625992885414464,0.003072319671974301,292.0,334.0
159,1805,634,31610,21012,720423,0.052274378290161114,0.0007210055003437276,274.0,188.0,0.052274378290161114,0.0007210055003437276,274.0,188.0
160,1807,363,39160,13124,720423,0.0995985398690132,0.00046978830726147983,377.0,146.0,0.0995985398690132,0.00046978830726147983,377.0,146.0
161,1806,742,14345,39868,720422,0.0724130164703831,0.003500949623024018,326.0,349.0,0.0724130164703831,0.003500949623024018,326.0,349.0
162,1902,813,4114,50161,761624,0.07589009469430488,0.044999951550948665,335.0,424.0,0.07589009469430488,0.044999951550948665,335.0,424.0
